student_id,session_no,attended
STU0001,1,1
STU0001,2,1
STU0001,3,1
STU0001,4,0
STU0001,5,1
STU0001,6,1
STU0001,7,1
STU0001,8,0
STU0001,9,0
STU0001,10,1
STU0001,11,1
STU0001,12,1
STU0001,13,1
STU0001,14,1
STU0001,15,1
STU0001,16,1
STU0001,17,1
STU0001,18,1
STU0001,19,1
STU0001,20,1
STU0001,21,1
STU0001,22,1
STU0001,23,1
STU0001,24,1
STU0001,25,1
STU0001,26,1
STU0001,27,1
STU0001,28,1
STU0001,29,1
STU0001,30,0
STU0001,31,0
STU0001,32,0
STU0001,33,1
STU0001,34,1
STU0001,35,1
STU0001,36,1
STU0001,37,1
STU0001,38,1
STU0001,39,1
STU0001,40,0
STU0002,1,1
STU0002,2,1
STU0002,3,0
STU0002,4,1
STU0002,5,0
STU0002,6,1
STU0002,7,1
STU0002,8,1
STU0002,9,1
STU0002,10,1
STU0002,11,1
STU0002,12,1
STU0002,13,1
STU0002,14,1
STU0002,15,1
STU0002,16,1
STU0002,17,1
STU0002,18,1
STU0002,19,1
STU0002,20,1
STU0002,21,1
STU0002,22,0
STU0002,23,1
STU0002,24,1
STU0002,25,1
STU0002,26,1
STU0002,27,1
STU0002,28,1
STU0002,29,1
STU0002,30,1
STU0002,31,1
STU0002,32,1
STU0002,33,1
STU0002,34,1
STU0002,35,1
STU0002,36,1
STU0002,37,1
STU0002,38,1
STU0002,39,1
STU0002,40,1
STU0003,1,0
STU0003,2,1
STU0003,3,0
STU0003,4,1
STU0003,5,1
STU0003,6,1
STU0003,7,1
STU0003,8,1
STU0003,9,1
STU0003,10,0
STU0003,11,1
STU0003,12,1
STU0003,13,0
STU0003,14,1
STU0003,15,1
STU0003,16,0
STU0003,17,1
STU0003,18,1
STU0003,19,1
STU0003,20,1
STU0003,21,0
STU0003,22,0
STU0003,23,0
STU0003,24,0
STU0003,25,0
STU0003,26,1
STU0003,27,0
STU0003,28,1
STU0003,29,0
STU0003,30,0
STU0003,31,1
STU0003,32,1
STU0003,33,1
STU0003,34,1
STU0003,35,0
STU0003,36,0
STU0003,37,1
STU0003,38,1
STU0003,39,1
STU0003,40,1
STU0004,1,1
STU0004,2,1
STU0004,3,1
STU0004,4,0
STU0004,5,0
STU0004,6,1
STU0004,7,1
STU0004,8,1
STU0004,9,1
STU0004,10,1
STU0004,11,1
STU0004,12,1
STU0004,13,1
STU0004,14,1
STU0004,15,0
STU0004,16,1
STU0004,17,1
STU0004,18,1
STU0004,19,0
STU0004,20,1
STU0004,21,1
STU0004,22,1
STU0004,23,1
STU0004,24,1
STU0004,25,1
STU0004,26,1
STU0004,27,1
STU0004,28,1
STU0004,29,1
STU0004,30,0
STU0004,31,1
STU0004,32,1
STU0004,33,1
STU0004,34,1
STU0004,35,1
STU0004,36,1
STU0004,37,1
STU0004,38,1
STU0004,39,1
STU0004,40,1
STU0005,1,0
STU0005,2,0
STU0005,3,1
STU0005,4,1
STU0005,5,0
STU0005,6,1
STU0005,7,1
STU0005,8,0
STU0005,9,0
STU0005,10,0
STU0005,11,0
STU0005,12,1
STU0005,13,1
STU0005,14,1
STU0005,15,0
STU0005,16,0
STU0005,17,1
STU0005,18,1
STU0005,19,1
STU0005,20,1
STU0005,21,1
STU0005,22,0
STU0005,23,0
STU0005,24,1
STU0005,25,0
STU0005,26,0
STU0005,27,0
STU0005,28,1
STU0005,29,0
STU0005,30,0
STU0005,31,0
STU0005,32,1
STU0005,33,1
STU0005,34,0
STU0005,35,1
STU0005,36,0
STU0005,37,0
STU0005,38,1
STU0005,39,1
STU0005,40,1
STU0006,1,1
STU0006,2,1
STU0006,3,0
STU0006,4,1
STU0006,5,0
STU0006,6,0
STU0006,7,0
STU0006,8,1
STU0006,9,0
STU0006,10,1
STU0006,11,1
STU0006,12,0
STU0006,13,1
STU0006,14,1
STU0006,15,0
STU0006,16,1
STU0006,17,0
STU0006,18,0
STU0006,19,0
STU0006,20,1
STU0006,21,1
STU0006,22,0
STU0006,23,1
STU0006,24,0
STU0006,25,0
STU0006,26,0
STU0006,27,1
STU0006,28,1
STU0006,29,0
STU0006,30,1
STU0006,31,1
STU0006,32,0
STU0006,33,0
STU0006,34,0
